国家/地区,新增确诊,现有确诊,累计确诊,新增死亡,累计死亡,累计治愈,统计时间
佛得角,24,165,63037,0,412,62460,2022-12-01 10:39:32
科摩罗,24,18,8965,0,161,8786,2022-12-01 10:39:32
缅甸,21,5997,633245,0,19488,607760,2022-12-01 10:39:32
斯里兰卡,20,79,671682,0,16803,654800,2022-12-01 10:39:32
圭亚那合作共和国,19,117,71620,0,1285,70218,2022-12-01 10:39:32
波黑,19,5951,400548,0,16202,378395,2022-12-01 10:39:32
孟加拉国,18,21322,2036585,0,29433,1985830,2022-12-01 10:39:32
柬埔寨,17,58,138099,0,3056,134985,2022-12-01 10:39:32
不丹,15,918,62503,0,21,61564,2022-12-01 10:39:32
列支敦士登,14,62,20933,0,87,20784,2022-12-01 10:39:32
塞内加尔,14,33,88873,0,1968,86872,2022-12-01 10:39:32
古巴,13,89,1111392,0,8530,1102773,2022-12-01 10:39:32
圣巴泰勒米岛,12,4880,5348,0,6,462,2022-12-01 10:39:32
纽埃,12,33,136,0,0,103,2022-12-01 10:39:32
埃塞俄比亚,11,14563,494578,0,7572,472443,2022-12-01 10:39:32
阿尔巴尼亚,8,1545,333343,0,3593,328205,2022-12-01 10:39:32
利比里亚,8,13,8022,0,294,7715,2022-12-01 10:39:32
巴哈马,7,290,37483,0,833,36360,2022-12-01 10:39:32
尼泊尔,4,175,1000889,0,12019,988695,2022-12-01 10:39:32
阿尔及利亚,3,81645,271090,0,6881,182564,2022-12-01 10:39:32
马拉维,3,392,88086,0,2685,85009,2022-12-01 10:39:32
塞拉利昂,1,3240,7759,0,126,4393,2022-12-01 10:39:32
东帝汶,1,103,23343,0,138,23102,2022-12-01 10:39:32
叙利亚,1,7,57399,0,3163,54229,2022-12-01 10:39:32
加蓬,1,85,48973,0,306,48582,2022-12-01 10:39:32
赤道几内亚,1,121,17183,0,183,16879,2022-12-01 10:39:32
纳米比亚,0,40,169946,0,4080,165826,2022-12-01 10:39:32
卢旺达,0,64,132643,0,1467,131112,2022-12-01 10:39:32
斯威士兰,0,93,73770,0,1422,72255,2022-12-01 10:39:32
毛里塔尼亚,0,3,63420,0,997,62420,2022-12-01 10:39:32
阿鲁巴,0,967,43641,0,236,42438,2022-12-01 10:39:32
钻石公主号邮轮,0,0,712,0,13,699,2022-12-01 10:39:32
苏里南,0,30210,81228,0,1392,49626,2022-12-01 10:39:32
库拉索,0,971,45986,0,295,44720,2022-12-01 10:39:32
圣卢西亚,0,51,29550,0,404,29095,2022-12-01 10:39:32
圣文森特和格林纳丁斯,0,356,7112,0,115,6641,2022-12-01 10:39:32
安提瓜和巴布达,0,6,9106,0,146,8954,2022-12-01 10:39:32
